"flagged","Flag_1","Flag_2","Contextual","Veracity","Rebuttal","Lingual.overlap","Content.overlap","text_y","quote_tweets","date","favorites","retweets","day","id","replies","fraud","won","ballots"
"N","","",0,0,0,0,0,"Philadelphia Firefighters Union Votes to Endorse Trump https://t.co/rI6mQUZMbE via @BreitbartNews",887,"2020-10-30 6:17:04",68021,13860,"2020-10-30",1322059930082419968,2393,0,0,0
"N","","",0,0,0,0,0,"Pollak: 11 Shining Successes of President Donald Trump‘s First Term https://t.co/VW5w4YtBQ5 via @BreitbartNews",735,"2020-10-30 6:22:37",42359,9796,"2020-10-30",1322061324327810048,2967,0,0,0
"N","","",0,0,0,0,0,"Sports Reporter Calls Jack Nicklaus‘ Endorsement of President Trump ‘Divisive‘ https://t.co/BDcWAL6wp0 via @BreitbartNews Who is Darren Rovell? Thank you Jack!!!",938,"2020-10-30 6:31:06",49535,9199,"2020-10-30",1322063461334000128,3073,0,0,0
"N","","",0,0,0,0,0,"Way ahead in Texas!",23000,"2020-10-30 6:32:00",157332,18975,"2020-10-30",1322063687885199872,11826,0,0,0
"N","","",0,0,0,0,0,"Watch the Great Red Wave!",29000,"2020-10-30 6:32:27",180907,25028,"2020-10-30",1322063800993009920,9936,0,0,0
"N","","",0,0,0,0,0,"MAKE AMERICA GREAT AGAIN. VOTE!!!",36000,"2020-10-30 6:34:40",257767,35573,"2020-10-30",1322064357350609920,14269,0,0,0
"N","","",0,0,0,0,0,"#BidenCrimeFamiily",61000,"2020-10-30 6:37:17",167314,37821,"2020-10-30",1322065015575399936,15406,0,0,0
"N","","",0,0,0,0,0,"Biden will destroy the United States Supreme Court. Don’t let this happen!",33000,"2020-10-30 6:40:35",185966,31319,"2020-10-30",1322065847893019904,22402,0,0,0
"N","","",0,0,0,0,0,"If Sleepy Joe Biden is actually elected President, the 4 Justices (plus1) that helped make such a ridiculous win possible would be relegated to sitting on not only a heavily PACKED COURT, but probably a REVOLVING COURT as well. At least the many new Justices will be Radical Left!",34000,"2020-10-30 6:57:37",84103,16733,"2020-10-30",1322070135524499968,23311,0,0,0
"N","","",0,0,0,0,0,"More Testing equals more Cases. We have best testing. Deaths WAY DOWN. Hospitals have great additional capacity! Doing much better than Europe. Therapeutics working!",34000,"2020-10-30 12:15:58",122234,22017,"2020-10-30",1322150249255899904,21704,0,0,0
"N","","",0,0,0,0,0,"The @nytimes now admits that patients ill with Covid are getting better faster and at higher (much) percentages.",17000,"2020-10-30 12:22:37",113104,23803,"2020-10-30",1322151922468570112,9604,0,0,0
"N","","",0,0,0,0,0,"Rigged? https://t.co/KX5S0IrouV",24000,"2020-10-30 12:54:55",83102,22968,"2020-10-30",1322160052254479872,8550,1,0,0
"N","","",0,0,0,0,0,"33.1% GDP - BEST IN USA HISTORY. IF I AM ELECTED, NEXT YEAR WILL BE OUR BEST EVER!",36000,"2020-10-30 13:05:58",197745,35017,"2020-10-30",1322162832687990016,13339,0,0,0
"N","","",0,0,0,0,0,"SUPREME COURT!",28000,"2020-10-30 13:17:33",157140,20438,"2020-10-30",1322165745925669888,14308,0,0,0
"N","","",0,0,0,0,0,"SECOND AMENDMENT!",38000,"2020-10-30 13:19:06",207373,30888,"2020-10-30",1322166136843190016,19136,0,0,0
"N","","",0,0,0,0,0,"I would NEVER have taken the endorsement of the man who, through gross incompetence, poisoned the people of Flint, Michigan. Former RINO Governor Rick Snyder should be ashamed of himself and his service. I was asked to help fix it. Biden took his endorsement. VOTE TRUMP!!!",22000,"2020-10-30 13:36:06",122329,26327,"2020-10-30",1322170415700150016,14228,0,0,0
"N","","",0,0,0,0,0,"This decision is CRAZY and so bad for our Country. Can you imagine what will happen during that nine day period. The Election should END on November 3rd. https://t.co/Hkftv9Jp56",38000,"2020-10-30 15:49:39",57876,14326,"2020-10-30",1322204026407150080,18719,0,0,0
"N","","",0,0,0,0,0,"Great Red Wave! https://t.co/0HvMzsNwuZ",433,"2020-10-30 16:45:50",45527,7827,"2020-10-30",1322218164361390080,2024,0,0,0
"N","","",0,0,0,0,0,"Such a Great Honor! Thank you, Brett! https://t.co/AocgUSqOTU",445,"2020-10-30 16:47:03",65096,10389,"2020-10-30",1322218470231040000,1845,0,0,0
"N","","",0,0,0,0,0,"Happy Birthday to our wonderful Ivanka. Now go back to work! November 3rd. https://t.co/mQF1xHV3Qh",4000,"2020-10-30 16:48:55",174102,24590,"2020-10-30",1322218940710360064,8305,0,0,0
"N","","",0,0,0,0,0,"Biden would lock us down forever. We are rounding the corner! https://t.co/zvSfKUo1gd",965,"2020-10-30 16:52:45",50124,11365,"2020-10-30",1322219904859209984,7889,0,0,0
"N","","",0,0,0,0,0,"On my way to MICHIGAN, WISCONSIN, and MINNESOTA! https://t.co/7eEpmAJKCO",16000,"2020-10-30 17:07:13",76041,13136,"2020-10-30",1322223545221410048,7832,0,0,0
"N","","",0,0,0,0,0,"THANK YOU MICHIGAN! https://t.co/eTip7kTQXJ",436,"2020-10-30 18:53:22",47596,8983,"2020-10-30",1322250257086870016,1717,0,0,0
"N","","",0,0,0,0,0,"Biden wants the biggest Tax Increase in the history of our Country!",24000,"2020-10-30 18:56:05",153496,27051,"2020-10-30",1322250940267680000,14471,0,0,0
"N","","",0,0,0,0,0,"Joe Biden has vowed to abolish the entire U.S. Energy Industry — no fracking, no energy, and high gas prices. While I am President, America will proudly remain ENERGY INDEPENDENT! https://t.co/pN1VF0zaB5",486,"2020-10-30 18:58:37",38113,8704,"2020-10-30",1322251577906800128,3160,0,0,0
"N","","",0,0,0,0,0,"Joe Biden spent the last 47 years outsourcing your jobs, opening your borders, and sacrificing American blood and treasure in endless foreign wars. He is a diehard globalist who cares nothing for working people. He repeatedly tried to cut Medicare &amp; Social Security. Biden was...",12000,"2020-10-30 19:03:32",88523,21766,"2020-10-30",1322252815561969920,8109,0,0,0
"N","","",0,0,0,0,0,"Biden’s speech is 90% made up stories and lies. Only broadcast on @FoxNews.",23000,"2020-10-30 19:05:05",106537,17312,"2020-10-30",1322253206185900032,15524,0,0,0
"N","","",0,0,0,0,0,"This election will decide whether we restore the rule of a corrupt political class – or whether we declare that in America, we are still governed by THE PEOPLE! Get out and VOTE!
https://t.co/gsFSgh2KPc",657,"2020-10-30 19:06:15",39768,9327,"2020-10-30",1322253501573979904,3604,0,0,0
"N","","",0,0,0,0,0,"Joe Biden is a corrupt politician—the Biden family is looking more &amp; more like a crime family. They took millions of $$ from the Chinese Communists, while Vice President Biden shipped Michigan jobs to China. If Biden wins, China Wins. When we win, Michigan wins, and AMERICA wins! https://t.co/YpnjH8838X",13000,"2020-10-30 19:10:02",61273,14605,"2020-10-30",1322254453156709888,8530,0,0,0
"N","","",0,0,0,0,0,"We did not come this far, and fight this hard, only to surrender our Country back to the Washington Swamp—So get your friends, get your family, get your neighbors &amp; GET OUT &amp; VOTE! On November 3rd we must finish the job and Drain the Swamp once and for all.https://t.co/1HSPRkWMTg",18000,"2020-10-30 19:12:45",70255,18956,"2020-10-30",1322255135947389952,6711,0,0,0
"N","","",0,0,0,0,0,"Your VOTE will continue HISTORIC job growth and make sure America keeps WINNING. Arizona, Georgia, Nevada, Texas - Get out and VOTE today! Find your Early Voting Location below. https://t.co/135RZzXIeI",502,"2020-10-30 19:16:09",38993,8512,"2020-10-30",1322255990276780032,4534,0,0,0
"N","","",0,0,0,0,0,"Volunteer to be a Trump Election Poll Watcher. Sign up today! 

#MAGA #Election2020 
https://t.co/3AnrRUPTtZ",847,"2020-10-30 19:29:49",36665,8294,"2020-10-30",1322259430419780096,7261,0,0,0
"N","","",0,0,0,0,0,"THANK YOU WISCONSIN!
https://t.co/9l46T76kwu",428,"2020-10-30 21:27:25",51395,9365,"2020-10-30",1322289024661410048,2173,0,0,0
"N","","",0,0,0,0,0,"This election is the most important election of our lifetime! Get out and VOTE to #MAGA! https://t.co/jM4hTHUYDF",557,"2020-10-30 21:34:49",46522,9641,"2020-10-30",1322290888157009920,2769,0,0,0
"N","","",0,0,0,0,0,"One of the most important issues is LAW &amp; ORDER. Biden stands with the rioters &amp; looters - I stand with the HEROES of law enforcement. If Biden wins, the rioters in the streets will be running your federal government. No city, no family, and no community will be safe. VOTE #MAGA! https://t.co/fjokM0yWiG",794,"2020-10-30 21:46:12",47903,11542,"2020-10-30",1322293755328620032,4440,0,0,0
"N","","",0,0,0,0,0,"This election is a choice between a Trump Super Boom or a Biden Depression, and it’s between a safe vaccine or a devastating Biden lockdown! https://t.co/FkOHz0XUS2 https://t.co/IEPULUXAXe",817,"2020-10-30 21:47:46",48276,11011,"2020-10-30",1322294145726080000,4715,0,0,0
"N","","",0,0,0,0,0,"The Election should end on November 3rd., not weeks later!",92000,"2020-10-30 21:48:23",326007,49512,"2020-10-30",1322294301183780096,42130,0,0,0
"N","","",0,0,0,0,0,"I’ve done more in 47 months than Joe Biden has done in 47 years! A vote for Republicans is a vote for the American Dream, and the party of Abraham Lincoln! #MAGA https://t.co/gsFSgh2KPc",13000,"2020-10-30 21:52:46",67512,13850,"2020-10-30",1322295405313319936,9033,0,0,0
"N","","",0,0,0,0,0,"Joe Biden will lock down our entire Country. Biden will make you a prisoner in your own home, and a prisoner in your own Country. Biden’s plan will kill the American Dream—Get your friends, get your family, get your neighbors and GET OUT AND VOTE! #MAGA https://t.co/fH8Iq6i8d3",23000,"2020-10-30 22:02:23",65026,20067,"2020-10-30",1322297825334500096,11892,0,0,0
"N","","",0,0,0,0,0,"THANK YOU MINNESOTA!
https://t.co/OMIAwVQcY7",969,"2020-10-30 23:42:41",75332,14751,"2020-10-30",1322323068979559936,3864,0,0,0
"N","","",0,0,0,0,0,"President Obama used to say that “if you wanted to see something really screwed up, give it to Joe Biden to do.” In fact, he tried to keep Joe from running, “you don’t have to do this Joe”, and then wouldn’t endorse him until long after the Primaries ended. “Joe is lost!”.",27000,"2020-10-30 23:51:21",147169,31611,"2020-10-30",1322325248927150080,16922,0,0,0
